2026-05-06 15:00:51.336 [main] INFO  [] e.o.c.ChatServiceApplication - Starting ChatServiceApplication using Java 21.0.7 with PID 95583 (/Users/matchattatoyaem/Adelaide Lecture/capstone-project/ai-platform/chat-service/build/classes/java/main started by matchattatoyaem in /Users/matchattatoyaem/Adelaide Lecture/capstone-project/ai-platform/chat-service)
2026-05-06 15:00:51.337 [main] INFO  [] e.o.c.ChatServiceApplication - The following 1 profile is active: "local"
2026-05-06 15:00:51.757 [main] INFO  [] o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
2026-05-06 15:00:51.762 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8082"]
2026-05-06 15:00:51.762 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-06 15:00:51.762 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.18]
2026-05-06 15:00:51.781 [main] INFO  [] o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 427 ms
2026-05-06 15:00:51.826 [main] INFO  [] n.d.b.g.c.a.GrpcClientAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyChannelFactory + InProcessChannelFactory
2026-05-06 15:00:52.985 [main] INFO  [] o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-06 15:00:53.086 [main] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Starting...
2026-05-06 15:00:53.086 [main] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=true, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@3f033664]]
2026-05-06 15:00:53.086 [main] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Started.
2026-05-06 15:00:53.086 [main] INFO  [] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2026-05-06 15:00:53.090 [main] INFO  [] o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8082 (http) with context path '/'
2026-05-06 15:00:53.092 [main] INFO  [] e.o.c.ChatServiceApplication - Started ChatServiceApplication in 1.933 seconds (process running for 2.233)
2026-05-06 15:01:21.897 [http-nio-8082-exec-1] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-06 15:01:21.897 [http-nio-8082-exec-1] INFO  [] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-05-06 15:01:21.899 [http-nio-8082-exec-1] INFO  [] o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-05-06 15:01:21.903 [http-nio-8082-exec-1] WARN  [e1be078f2be6] o.s.w.s.h.HandlerMappingIntrospector - Cache miss for REQUEST dispatch to '/api/chat-sessions/%7BsessionId%7D/answer-rating' (previous null). Performing CorsConfiguration lookup. This is logged once only at WARN level, and every time at TRACE.
2026-05-06 15:01:21.915 [http-nio-8082-exec-1] WARN  [e1be078f2be6] o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Method parameter 'id': Failed to convert value of type 'java.lang.String' to required type 'java.util.UUID'; Invalid UUID string: {sessionId}]
2026-05-06 15:01:21.916 [http-nio-8082-exec-1] INFO  [e1be078f2be6] e.o.s.filter.RequestLoggingFilter - [e1be078f2be6] PUT /api/chat-sessions/%7BsessionId%7D/answer-rating | status=400 | ip=0:0:0:0:0:0:0:1 | user=anonymous | 17ms
2026-05-06 15:01:53.111 [MessageBroker-1] INFO  [] o.s.w.s.c.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]
2026-05-06 15:02:01.189 [http-nio-8082-exec-4] INFO  [72f81151b4f5] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-05-06 15:02:01.266 [http-nio-8082-exec-4] INFO  [72f81151b4f5] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3c9075c5
2026-05-06 15:02:01.267 [http-nio-8082-exec-4] INFO  [72f81151b4f5] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-05-06 15:02:01.283 [http-nio-8082-exec-4] INFO  [72f81151b4f5] e.o.s.filter.RequestLoggingFilter - [72f81151b4f5] PUT /api/chat-sessions/a702516e-c8ad-4b66-8fff-7766c5e26862/answer-rating | status=200 | ip=0:0:0:0:0:0:0:1 | user=anonymous | 143ms
2026-05-06 15:02:43.833 [SpringApplicationShutdownHook] INFO  [] o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-05-06 15:02:43.838 [tomcat-shutdown] INFO  [] o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-05-06 15:02:43.839 [SpringApplicationShutdownHook] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Stopping...
2026-05-06 15:02:43.839 [SpringApplicationShutdownHook] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@3f033664]]
2026-05-06 15:02:43.839 [SpringApplicationShutdownHook] INFO  [] o.s.m.s.b.SimpleBrokerMessageHandler - Stopped.
2026-05-06 15:02:43.841 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-05-06 15:02:43.842 [SpringApplicationShutdownHook] INFO  [] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-05-06 15:02:45.723 [main] INFO  [] e.o.c.ChatServiceApplication - Starting ChatServiceApplication using Java 21.0.7 with PID 847 (/Users/matchattatoyaem/Adelaide Lecture/capstone-project/ai-platform/chat-service/build/classes/java/main started by matchattatoyaem in /Users/matchattatoyaem/Adelaide Lecture/capstone-project/ai-platform/chat-service)
2026-05-06 15:02:45.724 [main] INFO  [] e.o.c.ChatServiceApplication - The following 1 profile is active: "local"
2026-05-06 15:02:46.129 [main] INFO  [] o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8082 (http)
